#Timeval(sec), EMA_ReqSize(B), EMA_IAT(ms), SQ_Length(B), Bandwidth(B/s), EMA_RTT(ms), BT_State, WFD_State
71.90923, 587, 0.293, 32154300, 107861, 22973.670, 2, 1
71.341191, 162, 3.256, 32713740, 56098, 23276.463, 2, 1
71.591461, 242, 10.156, 32687820, 110042, 23574.883, 2, 1
71.841694, 243, 23.077, 32662980, 103583, 23574.883, 2, 1
72.91915, 243, 23.326, 32649480, 60422, 23880.381, 2, 1
72.342192, 243, 23.441, 32624100, 107877, 24161.756, 2, 1
72.592472, 54, 15.502, 32602500, 110041, 24449.146, 2, 1
72.842730, 1448, 0.190, 33049620, 58260, 24744.662, 2, 1
73.92997, 141, 4.920, 33847200, 112199, 25041.312, 2, 1
73.343253, 198, 3.566, 34565940, 107887, 25328.158, 2, 1
